label,ble_id,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,15070,149.81725,100.0,300.0,96.62138000000002,300.0,300.0,300.0,300.0,300.0
8-302,15070,149.81725,100.0,300.0,93.75661666666667,300.0,300.0,300.0,300.0,300.0
8-302,15070,149.81725,120.627,300.0,93.75661666666667,300.0,300.0,300.0,300.0,300.0
8-302,15070,149.81725,120.627,300.0,87.52262857142857,300.0,300.0,300.0,300.0,300.0
8-302,15070,149.81725,120.627,300.0,87.52262857142857,300.0,300.0,300.0,25.1189,300.0
8-302,15070,146.92666666666665,120.627,300.0,72.23214285714286,300.0,300.0,300.0,25.1189,300.0
8-302,15070,154.652,120.627,300.0,72.23214285714286,300.0,300.0,300.0,25.1189,300.0
8-302,15070,172.86933333333332,120.627,300.0,80.9773,300.0,300.0,300.0,25.1189,300.0
8-302,15070,172.86933333333332,120.627,300.0,80.9773,300.0,300.0,300.0,26.65135,300.0
8-302,15070,172.86933333333332,120.627,300.0,85.92594,300.0,300.0,300.0,26.65135,300.0
8-302,15070,172.86933333333332,120.627,300.0,85.92594,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,172.86933333333332,120.627,300.0,88.27161666666666,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,157.7025,141.254,300.0,91.76702,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,144.670275,300.0,300.0,94.85057499999999,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,144.670275,300.0,300.0,101.05906,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,144.670275,44.6684,300.0,101.05906,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,135.73622,44.6684,300.0,101.05906,300.0,300.0,300.0,26.140533333333334,300.0
8-302,15070,135.73622,57.7315,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,15070,127.9677,57.7315,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,15070,127.9677,59.51956666666666,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,15070,114.99636666666667,59.51956666666666,300.0,128.12733333333335,300.0,300.0,300.0,26.65135,300.0
8-302,15070,114.99636666666667,60.413599999999995,300.0,128.12733333333335,300.0,300.0,300.0,26.65135,300.0
8-302,15070,114.99636666666667,60.950019999999995,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,15070,109.91585714285715,60.950019999999995,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,15070,94.98083333333334,61.307633333333335,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,15070,94.1443,61.307633333333335,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,15070,91.13468333333333,61.307633333333335,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,15070,90.84759999999999,61.307633333333335,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,15070,87.70681666666667,64.63548,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,15070,87.70681666666667,64.63548,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,15070,87.70681666666667,60.49801666666667,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,15070,86.5248142857143,60.49801666666667,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,15070,86.09143333333333,57.27445,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,15070,83.90617142857143,57.27445,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,15070,83.90617142857143,57.27445,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,15070,83.90617142857143,57.06638,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,15070,81.22386666666667,54.47098,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,15070,80.96799999999999,54.47098,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,15070,81.22386666666667,52.31479999999999,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,82.35261428571428,52.31479999999999,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,82.35261428571428,53.098659999999995,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,82.35261428571428,53.62123333333333,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,81.22386666666667,47.29176666666667,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,47.29176666666667,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,47.29176666666667,300.0,123.38783333333333,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,53.26795714285715,300.0,123.38783333333333,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,53.26795714285715,300.0,125.625,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,53.26795714285715,300.0,131.10233333333335,300.0,300.0,300.0,300.0,300.0
8-302,15070,89.79960000000001,52.1930125,300.0,131.10233333333335,300.0,300.0,300.0,300.0,300.0
8-302,15070,91.07464999999999,52.1930125,300.0,131.10233333333335,300.0,300.0,300.0,300.0,300.0
8-302,15070,94.1223857142857,53.96191428571429,300.0,132.1442,300.0,300.0,300.0,300.0,300.0
8-302,15070,94.1223857142857,53.96191428571429,300.0,136.535,300.0,300.0,300.0,300.0,300.0
8-302,15070,94.1223857142857,50.3565375,300.0,136.535,300.0,300.0,300.0,300.0,300.0
8-302,15070,98.01035,47.280125,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.65015714285714,47.280125,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.65015714285714,47.280125,300.0,143.842,300.0,300.0,300.0,300.0,300.0
8-302,15070,105.8188875,47.280125,300.0,143.842,300.0,300.0,300.0,300.0,300.0
8-302,15070,109.58832857142856,46.5988375,300.0,143.842,300.0,300.0,300.0,300.0,300.0
8-302,15070,109.58832857142856,46.5988375,300.0,143.41066666666669,300.0,300.0,300.0,300.0,300.0
8-302,15070,108.3897875,46.5988375,300.0,143.41066666666669,300.0,300.0,300.0,300.0,300.0
8-302,15070,108.3897875,45.36355555555556,300.0,143.41066666666669,300.0,300.0,300.0,300.0,300.0
8-302,15070,108.3897875,45.36355555555556,300.0,151.42714285714285,300.0,300.0,300.0,300.0,300.0
8-302,15070,111.2744,42.25768571428571,300.0,157.96466666666666,300.0,300.0,300.0,300.0,300.0
8-302,15070,111.2744,45.824799999999996,300.0,157.96466666666666,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.99159999999999,42.431828571428575,300.0,153.99200000000002,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.99159999999999,42.431828571428575,300.0,151.869,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.99159999999999,49.62785,300.0,151.869,300.0,300.0,300.0,300.0,300.0
8-302,15070,106.11765,49.62785,300.0,151.869,300.0,300.0,300.0,300.0,300.0
8-302,15070,112.24415714285715,50.33634285714286,300.0,150.54500000000002,300.0,300.0,300.0,300.0,300.0
8-302,15070,113.95026250000001,50.33634285714286,300.0,150.54500000000002,300.0,300.0,300.0,300.0,300.0
8-302,15070,117.4967142857143,55.7616,300.0,148.559,300.0,300.0,300.0,300.0,300.0
8-302,15070,117.4967142857143,55.7616,300.0,147.098,300.0,300.0,300.0,300.0,300.0
8-302,15070,116.83487500000001,55.7616,300.0,147.098,300.0,300.0,300.0,300.0,300.0
8-302,15070,116.83487500000001,59.93203749999999,300.0,147.098,300.0,300.0,300.0,300.0,300.0
8-302,15070,112.69833333333334,63.9762142857143,300.0,156.3554,300.0,300.0,300.0,300.0,300.0
8-302,15070,114.58328571428572,63.9762142857143,300.0,156.3554,300.0,300.0,300.0,300.0,300.0
8-302,15070,114.58328571428572,63.866150000000005,300.0,156.3554,300.0,300.0,300.0,300.0,300.0
8-302,15070,117.01383333333335,64.7381,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,107.45738571428572,64.7381,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,105.71424285714285,63.72868333333333,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,105.71424285714285,59.69334285714285,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,98.0835125,59.69334285714285,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,98.0835125,55.75465,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,15070,97.80972857142856,46.6411,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,90.55985,46.6411,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,90.55985,43.6093625,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,73.21478571428572,43.6093625,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,73.21478571428572,41.895411111111116,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,66.71691666666668,31.2446,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,15070,66.71691666666668,31.2446,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,62.87317142857143,31.2446,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,61.278862499999995,31.2446,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,15070,59.5674875,26.694442857142857,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,15070,59.5674875,26.694442857142857,300.0,159.541,300.0,300.0,300.0,300.0,300.0
8-302,15070,59.5674875,26.694442857142857,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,15070,59.5674875,27.7928,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,15070,57.37228888888889,27.7928,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,15070,56.226955555555556,28.56502857142857,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,15070,56.226955555555556,28.1342625,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,15070,56.226955555555556,28.1342625,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,15070,54.152390000000004,28.1342625,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,15070,49.6069375,26.9015,300.0,150.3975,300.0,300.0,300.0,19.9526,300.0
8-302,15070,52.920922222222224,26.9015,300.0,150.3975,300.0,300.0,300.0,19.9526,300.0
8-302,15070,52.920922222222224,28.745671428571427,300.0,150.3975,300.0,300.0,300.0,19.9526,300.0
8-302,15070,53.25223999999999,28.745671428571427,300.0,150.3975,300.0,300.0,300.0,19.9526,300.0
8-302,15070,53.25223999999999,28.745671428571427,300.0,148.5688,300.0,300.0,300.0,19.9526,300.0
8-302,15070,54.74574444444444,29.805416666666662,300.0,148.5688,300.0,300.0,300.0,19.9526,300.0
8-302,15070,57.21445,29.805416666666662,300.0,148.5688,300.0,300.0,300.0,19.9526,300.0
8-302,15070,57.21445,29.805416666666662,300.0,147.34966666666668,300.0,300.0,300.0,19.9526,300.0
8-302,15070,59.54295,30.129739999999998,300.0,147.34966666666668,300.0,300.0,300.0,19.9526,300.0
8-302,15070,59.54295,29.805416666666662,300.0,147.34966666666668,300.0,300.0,300.0,19.9526,300.0
8-302,15070,63.1773111111111,30.74272,300.0,148.5688,300.0,300.0,300.0,19.9526,300.0
8-302,15070,63.1773111111111,29.805416666666662,300.0,148.5688,300.0,300.0,300.0,19.9526,300.0
8-302,15070,64.5728875,28.67024,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,15070,64.5728875,29.80541666666667,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,15070,64.5728875,29.80541666666667,300.0,144.701,300.0,300.0,300.0,300.0,300.0
8-302,15070,73.54851666666667,34.991283333333335,300.0,145.56275,300.0,300.0,300.0,300.0,300.0
8-302,15070,75.77374285714286,34.991283333333335,300.0,145.56275,300.0,300.0,300.0,300.0,300.0
8-302,15070,75.77374285714286,34.991283333333335,300.0,156.3554,300.0,300.0,300.0,300.0,300.0
8-302,15070,78.94985999999999,34.991283333333335,300.0,166.423,300.0,300.0,300.0,300.0,300.0
8-302,15070,84.49188333333332,34.991283333333335,300.0,166.423,300.0,300.0,300.0,300.0,300.0
8-302,15070,85.15377142857142,34.991283333333335,300.0,166.423,300.0,300.0,300.0,300.0,300.0
8-302,15070,85.15377142857143,36.96576,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,15070,85.15377142857143,42.6039,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,15070,85.15377142857143,42.6039,300.0,179.0075,300.0,300.0,300.0,25.1189,300.0
8-302,15070,90.4258142857143,45.487919999999995,300.0,179.0075,300.0,300.0,300.0,25.1189,300.0
8-302,15070,90.4258142857143,45.351333333333336,300.0,179.0075,300.0,300.0,300.0,25.1189,300.0
8-302,15070,90.4258142857143,45.351333333333336,300.0,178.61433333333332,300.0,300.0,300.0,25.1189,300.0
8-302,15070,96.7793375,45.351333333333336,300.0,178.61433333333332,300.0,300.0,300.0,25.1189,300.0
8-302,15070,101.59128571428572,47.79996666666667,300.0,178.61433333333332,300.0,300.0,300.0,25.1189,300.0
8-302,15070,101.59128571428572,47.79996666666667,300.0,204.42025,300.0,300.0,300.0,25.1189,300.0
8-302,15070,104.62899999999999,47.79996666666667,300.0,204.42025,300.0,300.0,300.0,25.1189,300.0
8-302,15070,105.29028571428572,50.2637,300.0,209.255,300.0,300.0,300.0,25.1189,300.0
8-302,15070,106.15424999999999,50.2637,300.0,209.255,300.0,300.0,300.0,25.1189,300.0
8-302,15070,106.15424999999999,49.33115,300.0,209.255,300.0,300.0,300.0,25.1189,300.0
8-302,15070,108.58698571428572,48.31191666666666,300.0,212.49800000000002,300.0,300.0,300.0,25.1189,300.0
8-302,15070,117.24211249999999,48.31191666666666,300.0,212.49800000000002,300.0,300.0,300.0,25.1189,300.0
8-302,15070,117.24211249999999,46.47897142857142,300.0,212.49800000000002,300.0,300.0,300.0,25.1189,300.0
8-302,15070,125.40911428571428,47.590349999999994,300.0,212.49800000000002,300.0,300.0,300.0,25.1189,300.0
8-302,15070,125.40911428571428,47.172928571428564,300.0,212.49800000000002,300.0,300.0,300.0,25.1189,300.0
8-302,15070,125.40911428571428,47.172928571428564,300.0,203.8305,300.0,300.0,300.0,25.1189,300.0
8-302,15070,133.07183333333333,41.08567142857142,300.0,203.8305,300.0,300.0,300.0,300.0,300.0
8-302,15070,133.07183333333333,38.44403749999999,300.0,203.8305,300.0,300.0,300.0,300.0,300.0
8-302,15070,132.04628571428572,38.44403749999999,300.0,203.8305,300.0,300.0,300.0,300.0,300.0
8-302,15070,132.04628571428572,38.44403749999999,300.0,203.8305,300.0,300.0,300.0,14.1254,300.0
8-302,15070,136.614,36.00035,300.0,212.49800000000002,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,36.00035,300.0,212.49800000000002,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,36.00035,300.0,194.687,300.0,300.0,300.0,14.1254,300.0
8-302,15070,131.43540000000002,36.00035,300.0,165.63666666666666,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,36.00035,300.0,165.63666666666666,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,36.42372222222222,300.0,165.63666666666666,300.0,300.0,300.0,14.1254,300.0
8-302,15070,134.17360000000002,35.3931375,300.0,159.19033333333334,300.0,300.0,300.0,14.1254,300.0
8-302,15070,134.17360000000002,36.423722222222224,300.0,159.19033333333334,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,36.423722222222224,300.0,159.19033333333334,300.0,300.0,300.0,14.1254,300.0
8-302,15070,130.51166666666668,35.94363,300.0,159.19033333333334,300.0,300.0,300.0,14.1254,300.0
8-302,15070,121.04839999999999,33.939899999999994,300.0,159.19033333333334,300.0,300.0,300.0,14.1254,300.0
